creator_id,total_exposure,total_revenue,creator_share,cum_exposure_share,cum_revenue_share
109615,2853507.0,49028.35,6.619447938041967e-05,0.00046870831351481017,0.00013507781595271479
109587,2440682.0,51588.58,0.00013238895876083935,0.0008696072578825493,0.00027720931159762026
106667,2382744.0,48485.61,0.000198583438141259,0.0012609894839564761,0.00041079182669215443
115219,2354843.0,53672.52,0.0002647779175216787,0.0016477887772899623,0.0005586647773070212
118290,2325302.0,44371.810000000005,0.0003309723969020984,0.002029735756509784,0.0006809133780588072
100545,2249277.0,22503.58,0.000397166876282518,0.0023991951022543892,0.000742912903588775
111391,2161677.0,42616.56,0.0004633613556629377,0.0027542655405023955,0.0008603256219082335
108911,2160296.0,32748.6,0.0005295558350433574,0.0031091091399233156,0.0009505511621009806
109447,2121848.0,47232.02,0.0005957503144237771,0.0034576373887114814,0.0010806799162735143
106219,2004635.0,47738.84,0.0006619447938041968,0.0037869125893900714,0.0012122050082522594
104543,1952543.0,35251.97,0.0007281392731846164,0.004107631317816232,0.0013093275733728604
114391,1941643.0,21673.36,0.000794333752565036,0.004426559645652062,0.0013690397630173605
115631,1924124.0,23477.3,0.0008605282319454557,0.0047426103562455075,0.001433721980723375
109207,1904340.0,25104.03,0.0009267227113258754,0.005055411407639036,0.0015028859959107395
101822,1898869.0,25778.59,0.000992917190706295,0.0053673138093417675,0.001573908488724397
112479,1895126.0,15516.81,0.0010591116700867148,0.0056786013973371945,0.0016166587914646128
107865,1893028.0,18773.27,0.0011253061494671344,0.0059895443742832176,0.0016683809544558335
111568,1879985.0,18325.04,0.0011915006288475542,0.006298344948027434,0.001718868200721436
104243,1871889.0,18785.25,0.0012576951082279738,0.00660581569762676,0.0017706233697639539
106904,1870459.0,22803.15,0.0013238895876083936,0.00691305155980919,0.001833448239433077
104927,1848668.0,10029.7,0.0013900840669888131,0.007216708099123373,0.0018610810268032605
114224,1845310.0,14163.490000000002,0.0014562785463692327,0.007519813063650187,0.001900102802887263
111361,1830811.0,34651.19,0.0015224730257496525,0.007820536466877992,0.001995570161371947
117155,1826805.0,28080.44,0.001588667505130072,0.008120601856824616,0.0020729344721470647
106316,1824356.0,32579.96,0.0016548619845104919,0.008420264981537688,0.0021626953929332385
104004,1807178.0,29597.64,0.0017210564638909115,0.008717106500623175,0.002244239735513699
110525,1801375.0,22000.49,0.0017872509432713313,0.009012994836715478,0.002304853199745914
109960,1799980.0,19241.6,0.0018534454226517508,0.009308654034383607,0.002357865656894396
109112,1776704.0,24506.15,0.0019196399020321704,0.009600489987635174,0.002425382455224538
110565,1775662.0,18484.31,0.00198583438141259,0.009892154785160581,0.0024763085056462414
116287,1758823.0,23453.35,0.00205202886079301,0.010181053660159332,0.0025409247388006226
109256,1755015.0,17531.629999999997,0.0021182233401734296,0.010469327044750011,0.002589226064268257
109649,1746193.0,25955.66,0.0021844178195538494,0.010756151354661066,0.0026607364019486245
112487,1743694.0,33494.71000000001,0.0022506122989342688,0.011042565186491826,0.002753017546893734
109147,1729352.0,28373.26,0.0023168067783146886,0.011326623245362353,0.002831188604909321
106139,1727768.0,21281.61,0.0023830012576951084,0.011610421121248011,0.0028898214856560214
104253,1714973.0,37118.53,0.0024491957370755277,0.011892117329651718,0.0029920866029560186
106181,1714375.0,27345.76,0.0025153902164559475,0.012173715312408358,0.0030674267997272153
103751,1713832.0,29303.61,0.0025815846958363673,0.012455224103649352,0.0031481610614009234
110646,1709561.0,21476.04,0.002647779175216787,0.012736031353521419,0.0032073296154826567
105119,1706251.0,37005.98,0.0027139736545972065,0.013016294912938991,0.003309284646716419
102089,1704184.0,10876.22,0.0027801681339776263,0.01329621895327214,0.0033392496780385262
111562,1700577.0,24395.32,0.002846362613358046,0.013575550518841132,0.0034064611290677287
116799,1700355.0,34871.27,0.0029125570927384654,0.013854845619370577,0.003502534829102452
112262,1682355.0,18108.37,0.0029787515721188852,0.014131184095071954,0.0035524251286957217
102262,1661896.0,20131.4,0.003044946051499305,0.01440416203814236,0.0036078890703554038
115853,1661592.0,17755.65,0.003111140530879725,0.01467709004710456,0.0036568075924517172
107345,1658449.0,20275.3,0.003177335010260144,0.014949501796520394,0.0037126679924404196
100302,1658102.0,34659.08,0.003243529489640564,0.015221856548779817,0.0038081570886333454
102062,1650146.0,28339.84,0.0033097239690209838,0.015492904472865237,0.0038862360713372173
110089,1648741.0,26639.58,0.003375918448401403,0.01576372161595713,0.003959630674343389
107075,1643582.0,25277.92,0.003442112927781823,0.016033691357521914,0.00402927377319186
107400,1634915.0,24636.0,0.0035083074071622427,0.01630223748423198,0.004097148320750795
111187,1633472.0,26353.66,0.0035745018865426625,0.016570546588185,0.004169755186679597
